Matrice de confusion (lignes = vraie lettre, colonnes = prédite)

        A   B   C   D   E   F   G   H   I   J   K   L   M   N   O   P   Q   R   S   T   U   V   W   X   Y   Z
   A  362   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   B    0 481   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   C    0   0 402   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   D    0   0   0 399   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   4
   E    0   0   0   0 404   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   F    0   3   0   0   0 398   0   0   0   0   0   0   0   0   0   0   0   0   0  38   0   0   0   0   0   0
   G    0   0   0   0   0   0 367   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   H    0   0   0   0   0   0   0 410   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   I    0   0   0   0   0   0   0   0 560   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   J    0   0   0   0   0   0   0   0   0 650   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   K    0   0   0   0   0   0   0   0   0   0 608   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
   L    0   0   0   0   0   0   0   0   0   0   0 523   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   M    0   0   0   0   0   0   0   0   0   0   0   0 497   0   0   0   0   0   0   0   0   0   0   0   0   0
   N    0   0   0   0   0   0   0   0   0   0   0   0   0 776   0   0   0   0   0   0   0   0   0   0   0   0
   O    0   0   0   0   0   0   0   0   0   0   0   0   0   0 488   0   0   0   0   0   0   0   0   0   0   0
   P    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 670  16   0   0   0   0   0   0   0   0   0
   Q    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 457   0   0   0   0   0   0   0   0   0
   R    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 738   0   0  95   0   0   0   0   0
   S    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 556   0   0   0   0   0   0   0
   T    0   2   0   0   0  60   0   0   0   0   0   0   0   0   0   0   0   0   0 550   0   0   0   0   0   0
   U    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  28   0   0 737  39   0   0   0   0
   V    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  22   0   0  44 792   0   0   0   0
   W    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 514   0   0   0
   X    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1  24   0 541   0   0
   Y    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 564   0
   Z    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 636
